Date,DE40Cash_profit,DE40Cash_lot,Date,Price,Open,High,Low,Vol.,Change %,DE40Cash_China_profit,DE40Cash_China_lot,DE40Cash_World_profit,DE40Cash_World_lot
03/06/2024,-47.16,109.58,6/3/2024,18608.16,18503.79,18697.09,18503.79,54.18M,0.60%,-4864.86,60.78,468.79,12.17
04/06/2024,-7603.73,131.46,6/4/2024,18405.64,18608.30,18608.30,18365.53,81.41M,-1.09%,1323.83,26.41,60.43,0.16
05/06/2024,-616.90,131.63,6/5/2024,18575.94,18406.06,18624.36,18406.06,63.88M,0.93%,1921.83,19.08,1139.90,12.11
06/06/2024,19285.99,113.07,6/6/2024,18652.67,18576.58,18784.65,18576.58,60.88M,0.41%,3025.43,71.49,75.00,1.48
07/06/2024,-2934.62,181.69,6/7/2024,18557.27,18649.08,18649.08,18424.60,61.38M,-0.51%,-202.61,139.07,485.60,6.10
10/06/2024,10899.16,102.72,6/10/2024,18494.89,18550.33,18550.33,18359.42,53.45M,-0.34%,8389.19,46.58,605.79,6.29
11/06/2024,1678.68,144.28,6/11/2024,18369.94,18497.85,18543.04,18281.56,63.76M,-0.68%,859.14,8.35,-1539.65,2.83
12/06/2024,15700.35,187.45,6/12/2024,18630.86,18368.52,18651.70,18368.52,61.49M,1.42%,-20082.29,42.57,253.22,17.99
13/06/2024,-9183.52,97.92,6/13/2024,18265.68,18632.01,18632.01,18253.42,72.49M,-1.96%,-3744.03,76.46,-129.96,1.39
14/06/2024,2971.15,78.89,6/14/2024,18002.02,18267.68,18304.79,17951.17,92.52M,-1.44%,-709.13,13.01,-1180.43,1.03
17/06/2024,-557.15,68.50,6/17/2024,18068.21,18008.23,18149.33,17969.54,57.82M,0.37%,2886.38,37.01,119.40,3.06
18/06/2024,-10413.17,116.10,6/18/2024,18131.97,18073.44,18214.20,18073.24,50.84M,0.35%,1436.24,45.66,-152.23,1.50
19/06/2024,12937.49,54.77,6/19/2024,18067.91,18131.35,18148.01,18055.63,52.04M,-0.35%,3607.46,46.20,14.22,0.76
20/06/2024,27924.51,116.71,6/20/2024,18254.18,18068.67,18254.18,18068.58,59.52M,1.03%,-44.83,8.50,187.08,1.60
21/06/2024,-2243.04,111.74,6/21/2024,18163.52,18254.57,18257.94,18090.04,154.54M,-0.50%,-6595.53,33.41,-154.93,4.76
24/06/2024,5015.26,70.76,6/24/2024,18325.58,18165.54,18354.71,18165.54,61.74M,0.89%,1262.84,24.75,71.02,0.79
25/06/2024,-11147.36,78.66,6/25/2024,18177.62,18300.42,18307.61,18075.75,54.13M,-0.81%,483.36,5.63,-418.25,5.14
26/06/2024,-836.09,101.60,6/26/2024,18155.24,18176.80,18363.39,18045.54,56.45M,-0.12%,367.81,5.27,-197.51,0.97
27/06/2024,4082.11,53.81,6/27/2024,18210.55,18154.97,18265.52,18141.28,54.45M,0.30%,1524.57,10.63,-192.91,1.89
28/06/2024,-429.77,75.89,6/28/2024,18235.45,18211.97,18352.65,18198.10,64.59M,0.14%,144.47,13.30,62.59,0.82
01/07/2024,5603.26,97.89,7/1/2024,18290.66,18236.35,18460.72,18236.27,55.85M,0.30%,2468.55,21.70,-164.84,2.45
02/07/2024,1848.84,72.48,7/2/2024,18164.06,18286.86,18286.86,18030.49,57.15M,-0.69%,-4155.07,20.93,-1.65,1.78
03/07/2024,-493.30,64.88,7/3/2024,18374.53,18181.71,18395.60,18181.71,59.16M,1.16%,2361.21,16.72,91.02,1.33
04/07/2024,1212.57,72.09,7/4/2024,18450.48,18375.96,18468.16,18375.68,34.33M,0.41%,354.20,6.34,1.40,1.34
